sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,errors
"Plain White Shirt",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shirts,Default Category/Women/Shirts,Default Category/Kids/Shirts",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Cove Logo White Shirt",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shirts,Default Category/Women/Shirts,Default Category/Kids/Shirts",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Plain Black Shirt",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shirts,Default Category/Women/Shirts,Default Category/Kids/Shirts",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Cove Logo Black Shirt",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shirts,Default Category/Women/Shirts,Default Category/Kids/Shirts",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Plain White Shirt Short Sleeve",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shirts,Default Category/Women/Shirts,Default Category/Kids/Shirts",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Plain Black Shirt Short Sleeve",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shirts,Default Category/Women/Shirts,Default Category/Kids/Shirts",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Black Smart Trousers",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Trousers,Default Category/Women/Trousers,Default Category/Kids/Trousers",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Grey Smart Trousers",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Trousers,Default Category/Women/Trousers,Default Category/Kids/Trousers",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Black Casual Trousers",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Trousers,Default Category/Women/Trousers,Default Category/Kids/Trousers",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Grey Casual Trousers",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Trousers,Default Category/Women/Trousers,Default Category/Kids/Trousers",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Black Slim Fit Smart Trousers",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Trousers,Default Category/Women/Trousers,Default Category/Kids/Trousers",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Grey Slim Fit Smart Trousers",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Trousers,Default Category/Women/Trousers,Default Category/Kids/Trousers",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Black Skirt ",,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Skirts,Default Category/Kids/Skirts",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Grey Skirt ",,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Skirts,Default Category/Kids/Skirts",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Black Long Skirt ",,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Skirts,Default Category/Kids/Skirts",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Grey Long Skirt ",,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Skirts,Default Category/Kids/Skirts",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Black Smart Dress",,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Dresses,Default Category/Kids/Dresses",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Floral Summer Dress",,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Dresses,Default Category/Kids/Dresses",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Black Casual Dress",,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Dresses,Default Category/Kids/Dresses",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Blue Smart Dress",,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Dresses,Default Category/Kids/Dresses",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Blue Casual Dress",,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Dresses,Default Category/Kids/Dresses",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Short Floral Summer Dress",,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Dresses,Default Category/Kids/Dresses",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Standard Blue Jeans",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Jeans,Default Category/Women/Jeans,Default Category/Kids/Jeans",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Slim Fit Blue Jeans",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Jeans,Default Category/Women/Jeans,Default Category/Kids/Jeans",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Standard Black Jeans",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Jeans,Default Category/Women/Jeans,Default Category/Kids/Jeans",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Slim Fit Black Jeans",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Jeans,Default Category/Women/Jeans,Default Category/Kids/Jeans",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Skinny Blue Jeans",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Jeans,Default Category/Women/Jeans,Default Category/Kids/Jeans",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Skinny Black Jeans",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Jeans,Default Category/Women/Jeans,Default Category/Kids/Jeans",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Blue Hip Jeans",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Jeans,Default Category/Women/Jeans,Default Category/Kids/Jeans",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Black Hip Jeans",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Jeans,Default Category/Women/Jeans,Default Category/Kids/Jeans",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Blue Shorts ",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shorts,Default Category/Women/Shorts,Default Category/Kids/Shorts",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
"Grey Shorts ",,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shorts,Default Category/Women/Shorts,Default Category/Kids/Shorts",base,"Plain White T-Shirt",,,,1,"Taxable Goods","Catalog, Search",0,,,,plain-white-t-shirt,"Plain White T-Shirt","Plain White T-Shirt","Plain White T-Shirt ",,,,,,,,,"2/18/17 2:18 PM","2/18/17 2:18 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"Specified URL key already exists"
