sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus
Plain White Shirt,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shirts,Default Category/Women/Shirts,Default Category/Kids/Shirts",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Plain-white-shirt,Plain White Shirt,Plain White Shirt,Plain White Shirt,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Cove Logo White Shirt,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shirts,Default Category/Women/Shirts,Default Category/Kids/Shirts",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Cove-logo-white-shirt,Cove Logo White Shirt,Cove Logo White Shirt,Cove Logo White Shirt,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Plain Black Shirt,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shirts,Default Category/Women/Shirts,Default Category/Kids/Shirts",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Plain-black-shirt,Plain Black Shirt,Plain Black Shirt,Plain Black Shirt,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Cove Logo Black Shirt,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shirts,Default Category/Women/Shirts,Default Category/Kids/Shirts",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Cove-logo-black-shirt,Cove Logo Black Shirt,Cove Logo Black Shirt,Cove Logo Black Shirt,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Plain White Shirt Short Sleeve,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shirts,Default Category/Women/Shirts,Default Category/Kids/Shirts",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Plain-white-shirt-short,Plain White Shirt Short Sleeve,Plain White Shirt Short Sleeve,Plain White Shirt Short Sleeve,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Plain Black Shirt Short Sleeve,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shirts,Default Category/Women/Shirts,Default Category/Kids/Shirts",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Plain-black-shirt-short,Plain Black Shirt Short Sleeve,Plain Black Shirt Short Sleeve,Plain Black Shirt Short Sleeve,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Black Smart Trousers,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Trousers,Default Category/Women/Trousers,Default Category/Kids/Trousers",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Black-smart-trousers,Black Smart Trousers,Black Smart Trousers,Black Smart Trousers,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Grey Smart Trousers,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Trousers,Default Category/Women/Trousers,Default Category/Kids/Trousers",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Grey-smart-trousers,Grey Smart Trousers,Grey Smart Trousers,Grey Smart Trousers,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Black Casual Trousers,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Trousers,Default Category/Women/Trousers,Default Category/Kids/Trousers",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Black-casual-trousers,Black Casual Trousers,Black Casual Trousers,Black Casual Trousers,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Grey Casual Trousers,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Trousers,Default Category/Women/Trousers,Default Category/Kids/Trousers",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Grey-casual-trousers,Grey Casual Trousers,Grey Casual Trousers,Grey Casual Trousers,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Black Slim Fit Smart Trousers,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Trousers,Default Category/Women/Trousers,Default Category/Kids/Trousers",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Black-slim-fit-smart-trousers,Black Slim Fit Smart Trousers,Black Slim Fit Smart Trousers,Black Slim Fit Smart Trousers,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Grey Slim Fit Smart Trousers,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Trousers,Default Category/Women/Trousers,Default Category/Kids/Trousers",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Grey-slim-fit-smart-trousers,Grey Slim Fit Smart Trousers,Grey Slim Fit Smart Trousers,Grey Slim Fit Smart Trousers,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Black Skirt ,,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Skirts,Default Category/Kids/Skirts",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Black-skirt,Black Skirt ,Black Skirt ,Black Skirt ,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Grey Skirt ,,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Skirts,Default Category/Kids/Skirts",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Grey-skirt,Grey Skirt ,Grey Skirt ,Grey Skirt ,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Black Long Skirt ,,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Skirts,Default Category/Kids/Skirts",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Black-long-skirt,Black Long Skirt ,Black Long Skirt ,Black Long Skirt ,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Grey Long Skirt ,,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Skirts,Default Category/Kids/Skirts",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Grey-long-skirt,Grey Long Skirt ,Grey Long Skirt ,Grey Long Skirt ,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Black Smart Dress,,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Dresses,Default Category/Kids/Dresses",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Black-smart-dress,Black Smart Dress,Black Smart Dress,Black Smart Dress,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Floral Summer Dress,,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Dresses,Default Category/Kids/Dresses",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Floral-dress,Floral Summer Dress,Floral Summer Dress,Floral Summer Dress,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Black Casual Dress,,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Dresses,Default Category/Kids/Dresses",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Black-casual-dress,Black Casual Dress,Black Casual Dress,Black Casual Dress,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Blue Smart Dress,,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Dresses,Default Category/Kids/Dresses",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Blue-smart-dress,Blue Smart Dress,Blue Smart Dress,Blue Smart Dress,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Blue Casual Dress,,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Dresses,Default Category/Kids/Dresses",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Blue-casual-dress,Blue Casual Dress,Blue Casual Dress,Blue Casual Dress,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Short Floral Summer Dress,,Default,simple,"Default Category/Women,Default Category/Kids,Default Category/Women/Dresses,Default Category/Kids/Dresses",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Short-floral-dress,Short Floral Summer Dress,Short Floral Summer Dress,Short Floral Summer Dress,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Standard Blue Jeans,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Jeans,Default Category/Women/Jeans,Default Category/Kids/Jeans",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Standard-blue-jeans,Standard Blue Jeans,Standard Blue Jeans,Standard Blue Jeans,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Slim Fit Blue Jeans,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Jeans,Default Category/Women/Jeans,Default Category/Kids/Jeans",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Slim-blue-jeans,Slim Fit Blue Jeans,Slim Fit Blue Jeans,Slim Fit Blue Jeans,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Standard Black Jeans,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Jeans,Default Category/Women/Jeans,Default Category/Kids/Jeans",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Standard-black-jeas,Standard Black Jeans,Standard Black Jeans,Standard Black Jeans,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Slim Fit Black Jeans,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Jeans,Default Category/Women/Jeans,Default Category/Kids/Jeans",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Slim-black-jeans,Slim Fit Black Jeans,Slim Fit Black Jeans,Slim Fit Black Jeans,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Skinny Blue Jeans,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Jeans,Default Category/Women/Jeans,Default Category/Kids/Jeans",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Skinny-blue-jeans,Skinny Blue Jeans,Skinny Blue Jeans,Skinny Blue Jeans,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Skinny Black Jeans,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Jeans,Default Category/Women/Jeans,Default Category/Kids/Jeans",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Skinny-black-jeans,Skinny Black Jeans,Skinny Black Jeans,Skinny Black Jeans,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Blue Hip Jeans,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Jeans,Default Category/Women/Jeans,Default Category/Kids/Jeans",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Blue-hip-jeans,Blue Hip Jeans,Blue Hip Jeans,Blue Hip Jeans,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Black Hip Jeans,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Jeans,Default Category/Women/Jeans,Default Category/Kids/Jeans",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Black-hip-jeans,Black Hip Jeans,Black Hip Jeans,Black Hip Jeans,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Blue Shorts ,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shorts,Default Category/Women/Shorts,Default Category/Kids/Shorts",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Blue-shorts,Blue Shorts ,Blue Shorts ,Blue Shorts ,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Grey Shorts ,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shorts,Default Category/Women/Shorts,Default Category/Kids/Shorts",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Grey-shorts,Grey Shorts ,Grey Shorts ,Grey Shorts ,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Black Shorts ,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shorts,Default Category/Women/Shorts,Default Category/Kids/Shorts",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Black-shorts,Black Shorts ,Black Shorts ,Black Shorts ,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Yellow Shorts ,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shorts,Default Category/Women/Shorts,Default Category/Kids/Shorts",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Yellow-shorts,Yellow Shorts ,Yellow Shorts ,Yellow Shorts ,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
Red Shorts ,,Default,simple,"Default Category/Men,Default Category/Women,Default Category/Kids,Default Category/Men/Shorts,Default Category/Women/Shorts,Default Category/Kids/Shorts",base,Plain White T-Shirt,,,,1,Taxable Goods,"Catalog, Search",0,,,,Red-shorts,Red Shorts ,Red Shorts ,Red Shorts ,,,,,,,,,2/18/17 2:18 PM,2/18/17 2:18 PM,,,Block after Info Column,,,,Use config,,,,,,,,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
